transaction_id,project_id,buyer_address,seller_address,amount_credits,price_per_credit,total_value_usd,transaction_date,days_since_last_tx,buyer_tx_count,seller_tx_count,price_deviation_pct,is_fraud
TX-100013,VCS-1123,0x0000001ae12125a35e14ea197d1c0ec415fa9483,0x0000001148243666d91bb87fb89167872444d301,1244,32.74,40731.87,2020-02-20,12,53,134,3.81,0
TX-100014,VCS-1076,0x000000030dc738fa3f3949752ecdaef80b705933,0x000000180c502fd62f250819b7394b5dd963dc72,3716,22.71,84406.73,2020-05-17,11,43,190,-1.24,0
TX-100015,VCS-1059,0x000000081f8939d72a7ba5a8c71686c0cc39b925,0x000000035595e1a6f7e409d807aaab43a3f66c61,4596,9.63,44236.86,2022-08-04,14,189,158,-6.8,0
TX-100016,VCS-1052,0x0000001cbf59e8e83d6d45e91ffdbdd047419b48,0x0000000943c4bde0e6e8497d8f41f01289718eea,46,21.57,992.4,2021-03-15,23,118,30,-1.41,0
TX-100017,VCS-1156,0x0000000e4962956fa681fcfef5ab4764647dc392,0x0000001d1c7bc1df274f27c5d49bb06fd873dad9,2577,39.45,101657.99,2022-03-06,20,173,181,0.55,0
TX-100018,VCS-1061,0x000000194fe1fb1ab81fae427d55b3984e2d6255,0x000000165b62b65eecb600e8e22ac1a1243012da,1107,42.33,46864.39,2020-08-29,11,36,148,1.8,0
TX-100019,VCS-1125,0x0000001d40d94f66b9295e04834fcfd649f1137d,0x0000000ecde3dc0f96fd246dfdf6fd9c7374ccbf,1429,11.09,15853.87,2020-12-07,18,3,125,2.71,0
TX-100020,VCS-1104,0x00000015057ae588b414ccacdc80bfde71a0449d,0x0000000c28c59dd04c18481b2b24300007e67cb0,4150,40.69,168878.37,2022-10-10,21,9,71,9.28,0
TX-100021,VCS-1140,0x0000000b0d8da4381be1103b7c60bbdf82c42e48,0x0000000eedfc32d55c065624ea6e582bc66dceb3,4643,15.97,74164.24,2022-10-11,24,139,194,5.61,0
TX-100022,VCS-1192,0x00000004f023f3256937366eab9bfd8c3f5e3b8c,0x00000006eec5016166c759c7cfcc3909164484a0,272903,190.28,51927552.59,2023-08-31,0,199,61,473.18,1
TX-100023,VCS-1035,0x0000001c254b314a59872b10944a5d19c8ebe27a,0x0000000b78948c75e312b7d1f155bafd0f321333,3517,35.27,124027.31,2023-06-15,6,153,138,3.78,0
TX-100024,VCS-1173,0x0000001be6c93845abf9a11b77c603a8d0afb235,0x0000001910ccbcb5312c7e533d5c2b2c46feacd4,4701,42.29,198797.29,2022-11-19,9,34,64,-4.15,0
TX-100025,VCS-1147,0x0000000f5a5ba66929fc0419a42ffc22a1e518a2,0x0000001a74503d29f064e734773a65d9c4d598f7,3227,15.69,50643.17,2020-10-18,16,72,178,-5.05,0
TX-100026,VCS-1198,0x0000000ea2d286583349010701ea3f7d755cee2a,0x0000000f7921095154f5393d6f9bc70dd9a09007,2691,20.17,54269.45,2020-01-06,19,56,110,9.01,0
TX-100027,VCS-1147,0x0000001c6c901971637c0a79f05406e7216e9fe5,0x00000004b37412fa37ff65d3444ca85e57ff51d9,2333,22.94,53508.86,2023-01-25,11,12,26,-3.54,0
TX-100028,VCS-1000,0x00000017d2256e15ab08bb0648343fd1b0478ea4,0x0000000b4c967ce130d6c07c774a7793462623be,1304,34.45,44924.81,2022-07-23,15,22,96,-9.67,0
TX-100029,VCS-1193,0x0000001907a9d31231118e07cd476aa93bf0d9c1,0x000000056a60ffd2bfe671ef5fac87b9185df528,2512,27.54,69186.01,2023-12-03,24,34,152,-8.96,0
TX-100030,VCS-1108,0x0000000a0272cc73038e3cf3813b918fb1ac040d,0x00000006bea42e914456fbc67643bd496210def6,2824,28.46,80376.59,2020-09-03,27,27,81,-9.81,0
TX-100031,VCS-1036,0x00000015f27c651719778729e734ba7d11836c4f,0x0000001a4a386ecdf9ee07d18968e154a667b982,1100,15.2,16723.9,2023-10-18,21,55,161,-2.35,0
TX-100032,VCS-1022,0x00000006b0f145cdad1b9365791d6b7ce5871d89,0x0000000a141ce7d753c7acc7afe8a66f6dec6bbd,3634,42.6,154816.14,2021-03-20,28,71,166,2.32,0
TX-100033,VCS-1006,0x0000000cd087349031d0edcd383eeb38d90f74e9,0x0000000972c110cc24a33bfde3f08b7034981735,4987,26.77,133489.79,2023-11-15,10,192,101,2.0,0
TX-100034,VCS-1028,0x00000005885cc6b22c9d09e3df49faae3db788a6,0x0000000f121a9ff0da4806db4e7b01f25c70ee97,1970,5.71,11254.7,2022-03-01,16,146,108,7.96,0
TX-100035,VCS-1017,0x000000135632af8953529589524207ab0f7ae302,0x0000001b7095bd463fb288b9004f58d1495743a2,607,33.35,20242.47,2023-04-17,1,107,109,5.25,0
TX-100036,VCS-1079,0x0000000f43f6e6e412948a9a872c2231cedd069d,0x00000017c5f4856d4ca654d501c6720d9620bee6,1260,6.51,8201.62,2020-06-20,9,175,165,0.73,0
TX-100037,VCS-1062,0x000000110e024a8ff87dfdda4c19be0c16120aa6,0x000000183f7ea0c6975a07d6fb41c7519cbf7b8c,493793,215.08,106206698.3,2020-04-28,0,190,169,564.98,1
TX-100038,VCS-1088,0x0000001ac2e0cdfc51b58477e3ce0dcd85e3ade5,0x0000001a10cf84d2e876829c8a236c05425e0259,102,8.35,851.69,2022-10-13,6,200,69,4.16,0
TX-100039,VCS-1069,0x000000116f54858d9cfe8956000b5466939f71a2,0x0000000b18967613e764761b8a1e13b3911f730b,2754,8.59,23670.33,2022-05-29,26,198,27,8.0,0
TX-100040,VCS-1003,0x0000000f4d7e8ee302093d376b2ac8873e9aec86,0x0000000a5bacc809311fd8851d019d13b6ca1127,4178,28.9,120761.09,2020-03-31,1,83,64,-7.69,0
TX-100041,VCS-1030,0x00000007fdccea98702947f70bc4696f8085c147,0x00000004eb8eeef70d4d72af2d4e6f333922a7e4,648,31.73,20561.6,2022-02-02,19,103,18,-4.57,0
TX-100042,VCS-1141,0x0000000c23b02dece7b52c8e616f9b1774ed5145,0x00000016ada5d897d710acce283acd979055a36f,2555,41.53,106102.23,2020-06-25,11,63,119,5.47,0
TX-100043,VCS-1194,0x0000000e7af3b35cc4e96a3a6584521568f82063,0x00000003d0e1154a3aca526d3653a8eba2cd1590,1610,48.18,77570.5,2023-01-24,24,86,1,9.96,0
TX-100044,VCS-1135,0x0000001914c39538887c65dd585efadd0f554896,0x0000000adc29a2449480b8fa7735ee9047a2a10b,2529,19.7,49818.52,2021-02-24,4,134,106,4.76,0
TX-100045,VCS-1129,0x000000055545336a5b2cc3560285e796222df6a4,0x000000185fac0839993571e3f0c2099b97867b12,705,20.41,14392.04,2020-07-14,19,34,61,9.49,0
TX-100046,VCS-1081,0x00000015b57952b950eda000823d905333e4f986,0x000000111a657929a4500faf872e52ec1be5a4c3,3229,42.04,135744.61,2021-10-30,23,120,81,8.52,0
TX-100047,VCS-1118,0x000000080776d15aa7f6547d39a19c4a43d78f2b,0x00000019c3df1277d724b5400f06a0d5cebeabaa,1710,27.88,47673.58,2021-09-23,15,179,155,9.29,0
TX-100048,VCS-1091,0x0000000c9dace25b95cbb3d8e2d76e60657046ea,0x000000031cd3973386e0a8753156bb05429a4a7c,97821,176.79,17293353.8,2021-05-23,2,104,116,363.9,1
TX-100049,VCS-1031,0x0000000fc32d415bbbfc856e80dbe45738e7e019,0x00000017e055e72b2a9edadd0f15ba865f4b1a97,844,23.99,20246.83,2020-10-13,26,22,150,-8.11,0
TX-100050,VCS-1113,0x000000040faef7a5de2420f62e7891e5d450afa2,0x0000000fa9c54b725b9da624ce48ac8792ea1324,538,38.0,20444.9,2023-08-15,7,128,8,-8.5,0
TX-100051,VCS-1114,0x000000168d871534922275e585720bc7e2280fe3,0x000000123bdd01b32ef7b6479e5116ca9df2372e,1543,20.31,31336.46,2021-07-27,9,106,141,-2.92,0
TX-100052,VCS-1134,0x00000014bdabe1b887c02dae00de75133fc825ac,0x0000001c523c637a868d3ae464654132cb7b0b3a,3444,6.53,22482.13,2023-08-09,7,183,92,-2.34,0
TX-100053,VCS-1099,0x0000001641f2f4728fefbcd48d6dc041453b45fe,0x0000001bbfda55316e9483fa66e5c4f13811b519,4643,34.7,161125.69,2021-10-20,17,72,15,-3.12,0
TX-100054,VCS-1025,0x00000014348c1ba2c6ffdd58078d9ac23f738f50,0x00000004ad00f7c57415312929f3dc0cd0f81063,4794,22.16,106236.63,2020-11-22,8,196,57,-2.85,0
TX-100055,VCS-1151,0x0000000ea2e8a6164638216f2dc9219a5168bbf2,0x00000019a4667b7d907c3868f6d5fa5be9fa97e2,1433,43.28,62025.92,2021-04-29,6,91,146,-2.23,0
TX-100056,VCS-1044,0x00000009feb204f2a05ec844691d54777d8d3ddd,0x000000127716530f8e5dacfd9769336e9a069295,4042,24.99,101004.82,2021-09-24,18,1,85,-6.24,0
TX-100057,VCS-1015,0x00000013c903f749a5a8f76725a2389d24435958,0x0000000e02e26cf47f2ada73bccec248dc54d59b,1463,10.61,15528.98,2021-10-24,30,181,170,-7.39,0
TX-100058,VCS-1111,0x000000176d0a22897f31a047030c4603cab63107,0x00000014e85087683e4d9d4e8bfde24a51397c06,1127,6.96,7839.61,2024-02-08,6,178,158,-3.96,0
TX-100059,VCS-1187,0x0000001a1dcf48d8a9dd93e3aacad24cb0416f19,0x00000015e32ee0893cfa800952491d700075d3d5,1446,12.6,18214.01,2021-09-20,13,101,198,1.78,0
TX-100060,VCS-1026,0x0000001a451872cead44e0eede6b5275efcac577,0x0000000debce3a34e20c390c9c52a39f13eb22c9,1819,4.45,8093.39,2023-03-04,21,43,163,2.05,0
TX-100061,VCS-1067,0x0000000e01abfe403ab7a9a39f473f7335adde88,0x00000003a8be04fea4ebd48b28df7b2d41b455b8,2760,7.01,19341.01,2020-01-24,15,13,99,4.18,0
TX-100062,VCS-1089,0x00000012c47db041a33ae58fbf7c1dc38bc83a02,0x0000001b96f6ef931d3f1e953c97c41cc9ea356a,3401,19.25,65466.03,2022-02-14,16,176,58,-6.67,0
TX-100063,VCS-1066,0x0000000847d1bcaa9c4278ef7a349945f3a02120,0x00000005abb45e88b274b635bf835891e34f76b4,2425,6.52,15804.53,2021-10-14,1,141,24,6.92,0
TX-100064,VCS-1042,0x000000041888f2abf86b6e7e432c355b9b792afa,0x00000009e9c32b54bde2a16db427f3dc19ec0829,263,47.87,12590.34,2023-08-31,14,105,179,7.86,0
TX-100065,VCS-1024,0x000000034cb047679737b47c86b702067daec949,0x00000018c33bedabd4ab446575d426636d779595,2316,42.21,97758.67,2021-05-01,10,161,154,0.8,0
TX-100066,VCS-1029,0x0000001268e0cf60ef0418582853025d4ef03f80,0x0000001707a5bd9bcd1b00d8089f4251e516b0d4,2400,6.66,15981.31,2022-08-27,3,140,100,-5.86,0
TX-100067,VCS-1112,0x0000000bc69bc9b2c32eb04ea2d392c9770e09db,0x00000019b0e37a07aff42cba6f2cef93907276ea,3661,39.14,143294.93,2021-06-23,2,171,25,-2.61,0
TX-100068,VCS-1015,0x000000107618f2525ac6add3c27eb91bd73e7bb9,0x000000122ca407a26af7be35f202bdcd798e175f,4841,17.58,85123.21,2023-02-07,8,77,21,0.83,0
TX-100069,VCS-1146,0x0000000616101fd1280de4e05afb277cad72ed05,0x0000001c268f6d88822378fe8a30a63dfbff8a7d,4689,35.25,165281.97,2022-11-24,29,50,33,-9.31,0
TX-100070,VCS-1152,0x0000001453ab75f09f8b1b03708d0887ceae1325,0x0000000bcb9cb77edcc0b895ecb8c2f565b90e94,155863,40.36,6291219.51,2020-10-29,2,134,118,541.56,1
TX-100071,VCS-1028,0x00000015815d4b4aaf3417ce85b44c1d6a18e5af,0x00000006e0dde5568042e1e6218a5bb0952a5345,4823,3.66,17653.82,2022-05-09,17,28,145,4.01,0
TX-100072,VCS-1067,0x0000001682c11bf40592f5a9070580bd620f230b,0x0000000f36d2891bb558f4c868fcb0237919955c,2826,38.65,109217.09,2022-04-21,29,37,159,7.35,0
TX-100073,VCS-1012,0x0000001cc19132c3dfc210f26493521a5f584603,0x00000012c815c980d1087915aeffb6184d950273,2725,29.17,79487.27,2021-05-01,23,179,176,-9.22,0
TX-100074,VCS-1068,0x000000059594132224239645ca16f495ba92992e,0x00000013b2bf259a0549445e1d13e57f683c510e,3639,36.61,133208.87,2021-10-19,25,96,15,-7.31,0
TX-100075,VCS-1199,0x0000000381e580b26a5f9d98e59cf584d9ee7dc9,0x00000009c58be413694f81f890be487b2c7a0d31,4161,9.31,38744.3,2020-10-04,13,15,64,-3.78,0
TX-100076,VCS-1118,0x00000006dc9f8b4f2bede450c50358d8814ff657,0x000000124faaf9e0c733547e673853cdae61716a,154390,24.6,3798358.33,2022-01-24,1,153,115,380.19,1
TX-100077,VCS-1066,0x0000000c0774eb6f399c2f1b34193f4fbfbbeab3,0x000000099dce6e14c2e49e0a052006d038aa76df,2875,40.25,115711.83,2020-11-30,12,69,167,1.74,0
TX-100078,VCS-1165,0x00000009f27bac6e564926a6f949c6cc2c56e0cd,0x0000000ce1b9c499575dc32dfb21c33c409ca8f2,82,4.06,332.72,2020-09-27,16,183,182,5.61,0
TX-100079,VCS-1055,0x000000030a821ed81ee4a01ac511207f9fa4a627,0x000000169609352718ff540dbf32dc1ed6e18109,2866,20.29,58139.75,2021-05-31,15,156,73,-2.47,0
TX-100080,VCS-1070,0x0000001316b2c2b9b97c0a9babe2e993a6c681b0,0x0000001bfed9c7806f9590a59ce9c649c3f62136,2274,6.88,15651.08,2021-10-27,21,154,104,-8.72,0
TX-100081,VCS-1107,0x00000014f95ba92745de265cc2cb52aa6793cb09,0x00000009c13755791bb50c335e0d84bab54401cb,4084,32.99,134730.69,2021-06-15,10,88,186,4.43,0
TX-100082,VCS-1091,0x0000001d1bd53d8761b11221ac3ee7e481df62f4,0x0000000c1eafe9fe182d04df3fc74cdfa8596f8c,3907,32.71,127781.31,2023-10-07,30,25,121,2.77,0
TX-100083,VCS-1167,0x0000001a297d036de437871e984af1a716dc5a6e,0x0000000c8638f4a7cbf7af45be8beae654d1332a,1509,14.72,22209.94,2021-11-18,22,119,31,6.17,0
TX-100084,VCS-1128,0x00000013520611813785e22d3d79abbb1eac41d9,0x0000000d2397a1c6874e2f12828fb50226996aab,593,40.05,23747.81,2021-02-02,16,105,146,1.67,0
TX-100085,VCS-1124,0x0000000d1d95598c85d8237600f0b39555273407,0x0000000b640ac13f8a78942f6e3f5115a26e865b,1487,41.27,61365.96,2020-06-14,25,54,195,-7.14,0
TX-100086,VCS-1111,0x00000013f9f95c588a75abffc1865cf07a36e788,0x00000003e388b0f4e8c73f9a1a71cf99330ccff5,731,25.35,18527.45,2023-06-12,5,83,194,-6.83,0
TX-100087,VCS-1088,0x0000001352815bbaa38ec2ca8066f27f4fe54745,0x0000001d0107a4f5b405828eadc2e59296b31f4a,2048,11.39,23333.31,2023-11-21,8,12,77,3.53,0
TX-100088,VCS-1175,0x00000008208daedf494b3ffabb5d34217d7c59a5,0x0000000fc030c58d74532f41478f8ef9f2b5a7ea,4303,22.24,95693.46,2022-06-07,11,5,59,0.41,0
TX-100089,VCS-1043,0x0000001c96dacf133f4efc4bbd3e467c1f878b32,0x0000000b943d13c069a8df09bf71f2f10990a647,189,41.8,7900.64,2022-10-30,19,198,137,-5.78,0
TX-100090,VCS-1012,0x0000000f620f9356f3f57a7a7d09bd7eb0937085,0x0000001969c30853c9f721bceb8009471fa3ed1f,895,25.42,22749.45,2020-02-10,21,40,53,-9.04,0
TX-100091,VCS-1069,0x00000010136e249f3ca67a19fa70308b9f6facc1,0x0000001a734836f4a41f559445716cb8d4a5a81e,837,28.3,23687.71,2022-12-01,22,159,31,-3.98,0
TX-100092,VCS-1133,0x00000010a4656cdde4e470a493063127f91e5fcd,0x000000127ca3d104935a2adc887395094b9c22f4,4998,35.94,179646.42,2021-06-22,7,54,177,-0.05,0
TX-100093,VCS-1146,0x00000005e35fe391af72021ddde2f099ab450578,0x0000001aa98c759f9c7a08d0e26475aec78f07cf,739,15.21,11237.28,2020-08-14,30,26,66,-9.95,0
TX-100094,VCS-1025,0x0000000d9d9190d8567913b3bb9c5db94a629c5e,0x0000000d1bf7afec2ef27bfc0936f90e236dd176,2173,24.3,52806.41,2020-04-12,15,92,113,9.55,0
TX-100095,VCS-1046,0x00000011e6aaf01befba7939c5feb1751d24181c,0x00000019123d45e7a634f3188a175942cc0243c6,3062,14.93,45728.29,2021-12-02,27,186,16,4.66,0
TX-100096,VCS-1173,0x0000001b5188575725c3596a8dcc6e04702b7014,0x00000018cd22c2a690a42ce3fbe752c65bcd236c,4849,35.41,171723.66,2023-03-11,16,187,34,-7.93,0
TX-100097,VCS-1066,0x00000015aeaf1ff24dc06fcfe5bfcde6ad8cbfea,0x000000137534b607dfde8bb53eebacb3ab7aeb66,3620,25.32,91669.03,2020-05-09,2,177,180,7.75,0
TX-100098,VCS-1173,0x000000048d38ed658623962643c381508eefa5dd,0x00000013187d63047876a3ef041b1da302fb2869,3957,22.14,87606.76,2023-09-21,12,121,127,4.53,0
TX-100099,VCS-1012,0x0000000f950170221630f3cb9868a1e581c61eeb,0x00000011047f3c83c56ca2a130930528673d2920,1983,6.13,12163.87,2021-07-23,11,114,147,-0.17,0
TX-100100,VCS-1004,0x00000013f97d4694f2d2b1bcc6ad28ca1a46d536,0x0000001c0795ecd35cb26e815f7075de8c91bd13,982,38.56,37869.97,2023-08-31,16,155,159,-1.06,0
TX-100101,VCS-1013,0x0000000d64a87bdb6168dcd498767fc3d10bf4dc,0x0000001289e764a627ec221723dabd3f8f660bbd,3747,40.89,153207.76,2022-01-14,11,184,169,1.25,0
TX-100102,VCS-1090,0x0000000cbd1813138028cd01019cf4efd4734534,0x00000006a40d8fc2e8faf412e50627098c357321,1826,20.23,36948.33,2021-11-30,1,12,43,-8.05,0
TX-100103,VCS-1156,0x0000001cc366f98dfe44a4499696363a6494dd5c,0x0000001b0be787b8dfc67cfd16e4c03930c9c51f,3362,39.34,132250.63,2021-06-04,4,107,12,4.85,0
TX-100104,VCS-1150,0x00000012e7102e05abbb2e25e0786e28f4c8e393,0x00000013fcc02ee545bc30e7e72b4ba6011c4544,3700,38.85,143751.03,2023-09-10,15,111,150,1.78,0
TX-100105,VCS-1044,0x0000000f0ad381cfaa214dc430192dd2bb01b2a5,0x0000000dd24959c7247106eef922b8c0a8535961,1461,26.4,38571.92,2023-03-30,23,130,99,8.42,0
TX-100106,VCS-1087,0x00000007be5828e5fd315ee7aab44b83f8722413,0x00000019c824b86cd5c93ef7e28b141ebf98e734,2043,29.68,60632.29,2022-03-25,9,141,81,3.85,0
TX-100107,VCS-1182,0x00000018dc2437bae1a8d5ab0f2b188e4a636af5,0x000000197b31b7340a42d5cd8cea7892f554e1f8,1655,43.41,71848.41,2023-07-02,7,164,83,2.65,0
TX-100108,VCS-1181,0x00000010c939b81069e605c5a897e9ee88addab1,0x000000030b92a4b20f154eb362aa4433ceed0ffc,4784,35.39,169295.82,2023-09-28,19,98,38,1.25,0
TX-100109,VCS-1174,0x00000019003260ae602566c484e1ab3c4024c424,0x00000014b13c8708bd7d13edaaf3ab89c8cba592,461845,23.31,10765813.39,2021-08-09,0,9,92,333.49,1
TX-100110,VCS-1190,0x000000132d240d2cecd1c04cef14c3caa5a99ebc,0x0000000ca28678d055c341dc2b62a0b1c8c85ad6,4612,7.84,36166.37,2021-04-04,28,178,171,7.36,0
TX-100111,VCS-1141,0x0000000930a8e30447a4d46c62b7071d0dc5fb06,0x00000017d9a82a55c301389b33df22b6716ca1f2,463197,96.71,44795011.59,2021-10-02,2,181,182,408.28,1
TX-100112,VCS-1049,0x00000018ec14976bb6af7546d24adf694b4f3b2e,0x0000001a1cced4fb7fa873e48f4308ea13106665,4952,35.04,173509.01,2024-01-24,7,132,31,0.93,0
TX-100113,VCS-1065,0x0000000dde0b9317b09cc798699ee27727a158a0,0x00000017df0192924f5251996c6a333698cd2655,1075,21.24,22827.64,2023-04-11,6,158,170,1.13,0
TX-100114,VCS-1081,0x000000131f630a327e40d27b97b4c4bb86804a8a,0x00000010191d7fbe0a948d8e28ad8ecb11740357,607,36.54,22179.21,2023-12-20,26,140,138,1.0,0
TX-100115,VCS-1075,0x000000138e98a1cd49f1b7df52acbdb637ec07a6,0x0000001bc32e3cba18f74df95e888d6979903d96,2728,19.03,51914.46,2022-01-08,11,167,3,7.67,0
TX-100116,VCS-1082,0x00000006e23bb4de5517de9149dfe2a161a1a29c,0x0000000ca9a775c51390aae3a11541aa62c8c3f4,2007,16.62,33360.05,2023-10-29,2,7,133,-5.19,0
TX-100117,VCS-1075,0x00000013425102deba8c2abd062fe3d0e5f5c891,0x0000000378d12be112fc64b3255d8a4ff4ce8477,3660,19.88,72774.32,2020-03-30,16,161,17,6.06,0
TX-100118,VCS-1052,0x000000079ff18b524877e96b71dbd393f0938776,0x00000004453c4b2540c85accd4f51f7a0614ac41,3485,27.75,96711.56,2020-07-31,27,23,19,-5.74,0
TX-100119,VCS-1104,0x0000001057dae6642a9997f0d2e24f3563561add,0x000000069cae4ceaecfa11b863b84df950ffde64,351445,210.52,73987065.66,2021-06-13,0,137,2,479.04,1
TX-100120,VCS-1018,0x0000000c0b7cb18009fd98f54cf9e00b5b923c67,0x000000058b98e4ccd668feb00efb14f9c971bf51,4807,30.45,146391.14,2023-12-06,2,73,196,5.12,0
TX-100121,VCS-1136,0x0000001c5469154b486ef078824f3ba738491ecc,0x0000001ace4dd06954c9eaaf5687863eea06f94b,262,20.24,5304.11,2020-11-16,16,166,96,6.44,0
TX-100122,VCS-1001,0x0000001479d3ca8bee263684f823b670929daf9f,0x0000001a26170548d743ea197530362ff26d3dd3,1168,3.73,4354.62,2020-03-26,4,190,186,7.5,0
TX-100123,VCS-1047,0x000000093104ae105ef5be6dfd51820338858f7e,0x00000015bd0784053508e2098dd2d0841d57e734,4208,20.92,88051.94,2020-11-25,5,14,193,2.92,0
TX-100124,VCS-1171,0x0000001a22daf41ea26777c09f9266db113eaf84,0x0000000e4503a4167cdbcb62dc1dd92094a1eab0,4512,44.41,200397.71,2021-08-18,3,33,172,-0.77,0
TX-100125,VCS-1115,0x000000193e91be4e3213924dfd2df49a540e7d01,0x0000000e816edb0d1a0bb0e48668b1a7958c2936,1595,7.37,11761.59,2022-09-22,11,81,110,2.39,0
TX-100126,VCS-1034,0x00000012d10e1ebfde24fbff1b097160adf8f767,0x0000000cb6a81f41e51a2a11d1685165767d3b27,3582,17.08,61173.36,2022-01-06,9,125,142,5.71,0
TX-100127,VCS-1137,0x00000017d337e63a450d4137a2c8af1c32495cff,0x00000003d4b1fff39c91161f199de30f139309d1,2308,27.6,63690.53,2020-10-13,28,130,162,-8.36,0
TX-100128,VCS-1141,0x00000014effda4d96e1fefcaea8624be42b7c048,0x0000000e165dce484fb7004506cbdc9778dbcde3,359348,137.9,49554605.43,2020-03-16,0,101,58,402.57,1
TX-100129,VCS-1130,0x0000000370df0765e669f7dfc4f90cd9172e8c68,0x0000001ce719b74d625903289c8ca155a9a54c24,1106,29.75,32899.56,2022-10-23,15,158,176,7.14,0
TX-100130,VCS-1168,0x0000001aacb63c27aeb0f9d65722db19df482e7c,0x00000009faa9f2cfe51db31a4fd320a47bc6e121,1477,24.33,35934.25,2023-03-04,19,195,125,-1.08,0
TX-100131,VCS-1099,0x00000004d1fe629ffda730234a60f5a0783c91eb,0x00000006434751b32f49648e5a6d45130a3731ab,1703,13.35,22739.77,2022-01-09,17,181,134,-5.32,0
TX-100132,VCS-1044,0x000000154dd51573ea2a43c406bc9a79606cc2f5,0x00000013043e269e5f24f9e44557847ba741104b,4750,15.19,72141.59,2023-03-13,18,65,97,4.84,0
TX-100133,VCS-1154,0x0000001113e46bd96b10abd1dfddb9ed01b062c1,0x000000177409f8989cffba8a9a46035b2a6524af,2836,12.13,34397.78,2022-09-14,16,72,55,-1.88,0
TX-100134,VCS-1106,0x000000120d54c26941a65987b3eef2b7cfa9026b,0x000000152641b05203e4ce5ed9f8ef3bacdbd5f2,979,9.81,9599.17,2021-04-16,22,42,166,2.04,0
TX-100135,VCS-1034,0x00000015d45c4f77934c164de2a1e5d5a1298fa2,0x00000016581cfacd7e92c856e3a7e6ef2e16f0b6,4708,3.58,16866.32,2020-11-25,19,145,164,-9.14,0
TX-100136,VCS-1114,0x00000012ce58864501f23a225d8be4f79b4547e0,0x00000016597902d25dd661de978d90852baa43c9,198611,209.58,41625306.28,2021-03-19,0,37,150,530.87,1
TX-100137,VCS-1175,0x00000015890767aefd5a4b474b84984e57b94dfb,0x0000000752fe9feaea16225e9a3a6a02119fb03e,2176,10.98,23889.95,2024-01-23,6,28,5,3.19,0
TX-100138,VCS-1155,0x00000016d720ca6c03163cc58cd0e0ce18a70609,0x00000014b8fc954069f8125e6963a35d998d65ba,3448,39.14,134944.19,2020-11-02,27,129,193,0.09,0
TX-100139,VCS-1198,0x0000001075f5af5ef7ba402f0599639aadb610f4,0x00000013a2e9b6a49462723d3f59d2d15ed10e7f,4953,21.53,106662.08,2020-01-03,18,110,59,-7.39,0
